Record_ID,Operator_Name,Installation_ID,Time,Solar_Irradiance,Panel_Temperature,Ambient_Temperature,Cloud_Cover,Humidity,Wind_Speed,Rainfall,Dust_Level,Panel_Efficiency,Inverter_Efficiency,Solar_Power_Output
100001,Priya,INST-1409,23:30,0,19.8,21.3,39.6,75.6,8.2,0,17.7,17.19,92.66,0
100002,Ravi,INST-4257,22:45,0,33.4,32.1,37.6,20.5,12.1,0,20.9,19.04,93.09,0.18
100003,Meena,INST-2674,2:45,0,38.8,38.3,27.7,80.5,10.9,0,16.1,22.84,94.65,0.02
100004,Meena,INST-4150,22:00,0,22.6,23.5,23.7,26,3.5,0,3,18.67,96.45,0
100005,Meena,INST-6820,6:30,7.3,20.3,19.7,63.2,60.1,3.7,11.6,8.1,22.55,96.82,0
100006,Meena,INST-1916,7:00,98.6,22.1,19.6,72.5,62.5,10.8,5.3,15,22.31,96.5,0.05
100007,Arun,INST-5040,23:30,0,28.6,28.3,79.8,47.1,15,3.5,14.8,21.53,98.03,0
100008,Arun,INST-7916,19:00,0,32.2,32.3,50.8,38.9,8.3,23.6,20.4,17.69,98.19,0.1
100009,Meena,INST-2827,9:45,603.4,41.2,35.3,14.2,92.9,11.4,0,15.2,17.64,96.38,1.08
100010,Kumar,INST-3504,11:15,586.3,33.6,30.7,48.5,44.3,0.3,23.2,26.4,21.99,94.15,0.88
100011,Priya,INST-2403,23:45,0,41.6,41.5,85.3,29.4,9.9,23.7,5,20.17,96.25,0.19
100012,Kumar,INST-6107,12:30,672.1,25.4,20.9,39.4,45.4,8.8,0,6.9,18.32,92.5,1.15
100013,Kumar,INST-2104,1:30,0,24.4,23.7,25.7,36.1,2,0,28.1,20.43,95.31,0.11
100014,Akash,INST-4119,3:00,0,26.1,26.5,72.7,84.8,0.8,16.3,19.4,17.36,97.1,0.12
100015,Priya,INST-5073,6:15,0,22.3,22.4,48.3,85.6,1.1,20.2,25.7,17.59,96.57,0.02
100016,Ravi,INST-2528,7:15,179.2,41.9,38.8,36.6,32.3,0,0,11.7,22.56,97.5,0.29
100017,Divya,INST-3536,6:30,0,33.9,35.7,19.6,43.5,0.8,0,14.3,22.52,95.72,0
100018,Priya,INST-4044,2:00,0,22.1,23.6,74,86.8,3.7,14.9,18.6,19.52,96.09,0.01
100019,John,INST-4346,21:30,0,28.2,27.5,39.1,42.5,4.7,0,22.6,17.44,95.21,0.2
